"callerPrefix","calleePrefix"
"builders/create_context_tool","practices/clean_engineering/model/drawio"
"builders/create_context_tool","practices/agent_bdd"
"builders/create_context_tool","tools/workflow"
"builders/create_context_tool","practices/bdd"
"builders/create_context_tool","builders/create_agent_toolset"
"builders/create_context_tool","practices/ddd"
"builders/create_context_tool","tools/prompt_echo"
"builders/create_context_tool","tools/handoff"
"builders/create_context_tool","tools/plan"
"tools/workflow","practices"
"tools/workflow","harness/hooks"
"tools/workflow","harness/agent_tools"
"tools/workflow","harness/knowledge_graph"
"tools/workflow","harness/mcp"
"tools/workflow","practices/stories"
"tools/workflow","practices/clean_engineering"
"tools/workflow","tools/git"
"tools/workflow","tools/context_setup"
"tools/workflow","tools/workspace"
"tools/workflow","actions/partition"
"tools/workflow","practices/ux/model"
"tools/workflow","tools/catalog_generator"
"tools/workflow","practices/agent_bdd"
"tools/workflow","builders/create_agent_toolset"
"tools/workflow","practices/ddd"
"tools/workflow","tools/diagnose"
"tools/workflow","tools/handoff"
"tools/workflow","tools/plan"
"practices/bdd","actions"
"practices/bdd","harness"
"practices/bdd","practices"
"practices/bdd","installation"
"practices/bdd","harness/hooks"
"practices/bdd","actions/sketch"
"practices/bdd","harness/agent_tools"
"practices/bdd","harness/markdown"
"practices/bdd","harness/knowledge_graph"
"practices/bdd","harness/mcp"
